"filename", "language", "source.markdown.math", "JSON", "HTML", "comment", "blank", "total"
"/home/Aaron-Li/FrontEnd/.VSCodeCounter/2022-03-08_01-18-51/details.md", "source.markdown.math", 20, 0, 0, 0, 6, 26
"/home/Aaron-Li/FrontEnd/.VSCodeCounter/2022-03-08_01-18-51/diff-details.md", "source.markdown.math", 9, 0, 0, 0, 6, 15
"/home/Aaron-Li/FrontEnd/.VSCodeCounter/2022-03-08_01-18-51/diff.md", "source.markdown.math", 12, 0, 0, 0, 7, 19
"/home/Aaron-Li/FrontEnd/.VSCodeCounter/2022-03-08_01-18-51/results.json", "JSON", 0, 1, 0, 0, 0, 1
"/home/Aaron-Li/FrontEnd/.VSCodeCounter/2022-03-08_01-18-51/results.md", "source.markdown.math", 19, 0, 0, 0, 7, 26
"/home/Aaron-Li/FrontEnd/.VSCodeCounter/2022-03-08_01-19-43/details.md", "source.markdown.math", 20, 0, 0, 0, 6, 26
"/home/Aaron-Li/FrontEnd/.VSCodeCounter/2022-03-08_01-19-43/diff-details.md", "source.markdown.math", 9, 0, 0, 0, 6, 15
"/home/Aaron-Li/FrontEnd/.VSCodeCounter/2022-03-08_01-19-43/diff.md", "source.markdown.math", 12, 0, 0, 0, 7, 19
"/home/Aaron-Li/FrontEnd/.VSCodeCounter/2022-03-08_01-19-43/results.json", "JSON", 0, 1, 0, 0, 0, 1
"/home/Aaron-Li/FrontEnd/.VSCodeCounter/2022-03-08_01-19-43/results.md", "source.markdown.math", 19, 0, 0, 0, 7, 26
"/home/Aaron-Li/FrontEnd/CSSProject/Introduction/CSSGrammar.html", "HTML", 0, 0, 23, 3, 1, 27
"/home/Aaron-Li/FrontEnd/CSSProject/Introduction/CSSIntroduction.html", "HTML", 0, 0, 1, 3, 0, 4
"/home/Aaron-Li/FrontEnd/CSSProject/Selector/commonlyUsed/01.html", "HTML", 0, 0, 40, 0, 2, 42
"/home/Aaron-Li/FrontEnd/html5Project/Introduction/HyperlinkTest.html", "HTML", 0, 0, 0, 7, 2, 9
"/home/Aaron-Li/FrontEnd/html5Project/Introduction/InlineFrame.html", "HTML", 0, 0, 0, 7, 3, 10
"/home/Aaron-Li/FrontEnd/html5Project/Introduction/Photo.html", "HTML", 0, 0, 3, 7, 2, 12
"/home/Aaron-Li/FrontEnd/html5Project/Introduction/Semantization.html", "HTML", 0, 0, 0, 7, 2, 9
"/home/Aaron-Li/FrontEnd/html5Project/Introduction/semantic.html", "HTML", 0, 0, 0, 7, 3, 10
"Total", "-", 120, 2, 67, 41, 67, 297