"filename", "language", "HTML", "source.markdown.math", "JSON", "CSS", "comment", "blank", "total"
"/home/Aaron-Li/FrontEnd/.VSCodeCounter/2022-03-08_01-18-51/details.md", "source.markdown.math", 0, 20, 0, 0, 0, 6, 26
"/home/Aaron-Li/FrontEnd/.VSCodeCounter/2022-03-08_01-18-51/diff-details.md", "source.markdown.math", 0, 9, 0, 0, 0, 6, 15
"/home/Aaron-Li/FrontEnd/.VSCodeCounter/2022-03-08_01-18-51/diff.md", "source.markdown.math", 0, 12, 0, 0, 0, 7, 19
"/home/Aaron-Li/FrontEnd/.VSCodeCounter/2022-03-08_01-18-51/results.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"/home/Aaron-Li/FrontEnd/.VSCodeCounter/2022-03-08_01-18-51/results.md", "source.markdown.math", 0, 19, 0, 0, 0, 7, 26
"/home/Aaron-Li/FrontEnd/.VSCodeCounter/2022-03-08_01-19-43/details.md", "source.markdown.math", 0, 20, 0, 0, 0, 6, 26
"/home/Aaron-Li/FrontEnd/.VSCodeCounter/2022-03-08_01-19-43/diff-details.md", "source.markdown.math", 0, 9, 0, 0, 0, 6, 15
"/home/Aaron-Li/FrontEnd/.VSCodeCounter/2022-03-08_01-19-43/diff.md", "source.markdown.math", 0, 12, 0, 0, 0, 7, 19
"/home/Aaron-Li/FrontEnd/.VSCodeCounter/2022-03-08_01-19-43/results.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"/home/Aaron-Li/FrontEnd/.VSCodeCounter/2022-03-08_01-19-43/results.md", "source.markdown.math", 0, 19, 0, 0, 0, 7, 26
"/home/Aaron-Li/FrontEnd/CSSProject/Introduction/CSSGrammar.html", "HTML", 23, 0, 0, 0, 3, 1, 27
"/home/Aaron-Li/FrontEnd/CSSProject/Introduction/CSSIntroduction.css", "CSS", 0, 0, 0, 4, 0, 0, 4
"/home/Aaron-Li/FrontEnd/CSSProject/Introduction/CSSIntroduction.html", "HTML", 19, 0, 0, 0, 37, 1, 57
"/home/Aaron-Li/FrontEnd/CSSProject/Selector/commonlyUsed/01.html", "HTML", 40, 0, 0, 0, 0, 2, 42
"/home/Aaron-Li/FrontEnd/html5Project/Introduction/Hyperlink.html", "HTML", 21, 0, 0, 0, 22, 1, 44
"/home/Aaron-Li/FrontEnd/html5Project/Introduction/HyperlinkTest.html", "HTML", 75, 0, 0, 0, 22, 3, 100
"/home/Aaron-Li/FrontEnd/html5Project/Introduction/InlineFrame.html", "HTML", 11, 0, 0, 0, 14, 3, 28
"/home/Aaron-Li/FrontEnd/html5Project/Introduction/List.html", "HTML", 39, 0, 0, 0, 17, 1, 57
"/home/Aaron-Li/FrontEnd/html5Project/Introduction/Photo.html", "HTML", 14, 0, 0, 0, 47, 2, 63
"/home/Aaron-Li/FrontEnd/html5Project/Introduction/Semantization.html", "HTML", 33, 0, 0, 0, 38, 3, 74
"/home/Aaron-Li/FrontEnd/html5Project/Introduction/ha.html", "HTML", 16, 0, 0, 0, 20, 4, 40
"/home/Aaron-Li/FrontEnd/html5Project/Introduction/semantic.html", "HTML", 30, 0, 0, 0, 41, 3, 74
"/home/Aaron-Li/FrontEnd/html5Project/Introduction/音视频: AudioAndVideo.html", "HTML", 20, 0, 0, 0, 24, 0, 44
"Total", "-", 341, 120, 2, 4, 285, 76, 828